timestamp,team1,team1_shape,team1_positions_x,team1_positions_y,team1_player1_name,team1_player2_name,team1_player3_name,team1_player4_name,team1_player5_name,team1_player6_name,team1_player7_name,team1_player8_name,team1_player9_name,team1_player10_name,team1_player11_name,team2,team2_shape,team2_positions_x,team2_positions_y,team2_player1_name,team2_player2_name,team2_player3_name,team2_player4_name,team2_player5_name,team2_player6_name,team2_player7_name,team2_player8_name,team2_player9_name,team2_player10_name,team2_player11_name,result,score
2020-09-27 00:30:00,WBA,5-4-1_L,"[-24, -18, -20, -20, -20, -18, -12, -12, -12, -12, -4]","[0, 10, 5, 0, -5, -10, 9, 3, -3, -9, 0]",Sam Johnstone,Conor Townsend,Dara O'Shea,Kyle Bartley,Semi Ajayi,Darnell Furlong,Grady Diangana,Romaine Sawyers,Jake Livermore,Matheus Pereira1,Callum Robinson,CHE,4-2-3-1_R,"[24, 19, 21, 21, 19, 15, 15, 11, 9, 11, 3]","[0, -9, -3, 3, 9, -3, 3, -9, 0, 9, 0]",Wilfredo Caballero,Marcos Alonso,Thiago Silva,Andreas Christensen,Reece James,Mateo Kovacic,N'Golo Kanté,Timo Werner,Kai Havertz,Mason Mount,Tammy Abraham,1,3-3
2020-09-27 03:00:00,BUR,4-4-2_L,"[-24, -18, -20, -20, -18, -10, -12, -12, -10, -4, -4]","[0, 9, 3, -3, -9, 9, 3, -3, -9, 3, -3]",Nick Pope,Charlie Taylor,Jimmy Dunne,Kevin Long,Phil Bardsley,Dwight McNeil,Dale Stephens,Ashley Westwood,Josh Brownhill,Matej Vydra,Chris Wood,SOU,4-4-2_R,"[24, 18, 20, 20, 18, 10, 12, 12, 10, 4, 4]","[0, -9, -3, 3, 9, -9, -3, 3, 9, -3, 3]",Alex McCarthy,Ryan Bertrand,Jannik Vestergaard,Jan Bednarek,Kyle Walker-Peters,Moussa Djenepo,Oriol Romeu,James Ward-Prowse,Stuart Armstrong,Danny Ings,Ché Adams,0,0-1
2020-09-27 19:00:00,SHU,3-5-2_L,"[-24, -21, -21, -21, -11, -15, -9, -15, -11, -3, -3]","[0, 8, 0, -8, 9, 3, 0, -3, -9, 3, -3]",Aaron Ramsdale,Jack Robinson,Ethan Ampadu,Chris Basham,Enda Stevens,Ben Osborn,Sander Berge,John Lundstram,George Baldock,Oliver Burke,David McGoldrick,LEE,3-1-4-2_R,"[24, 21, 21, 21, 15, 9, 9, 9, 9, 3, 3]","[0, -8, 0, 8, 0, -9, -3, 3, 9, -3, 3]",Illan Meslier,Liam Cooper,Robin Koch,Luke Ayling,Kalvin Phillips,Jack Harrison,Stuart Dallas,Mateusz Klich,Hélder Costa,Tyler Roberts,Patrick Bamford,0,0-1
2020-09-27 21:00:00,TOT,4-2-3-1_L,"[-24, -19, -21, -21, -19, -15, -15, -11, -9, -11, -3]","[0, 9, 3, -3, -9, 3, -3, 9, 0, -9, 0]",Hugo Lloris,Ben Davies1,Eric Dier,Davinson Sánchez,Matt Doherty,Harry Winks,Pierre-Emile Hojbjerg,Son Heung-Min,Giovani Lo Celso,Lucas Moura,Harry Kane,NEW,5-4-1_R,"[24, 18, 20, 20, 20, 18, 12, 12, 12, 12, 4]","[0, -10, -5, 0, 5, 10, -9, -3, 3, 9, 0]",Karl Darlow,Matt Ritchie,Federico Fernández,Jamaal Lascelles,Isaac Hayden,Javier Manquillo,Joelinton,Jeff Hendrick,Jonjo Shelvey,Miguel Almirón,Callum Wilson,1,1-1
2020-09-27 23:30:00,MNC,4-2-3-1_L,"[-24, -19, -21, -21, -19, -15, -15, -11, -9, -11, -3]","[0, 9, 3, -3, -9, 3, -3, 9, 0, -9, 0]",Ederson,Benjamin Mendy,Nathan Aké,Eric García,Kyle Walker,Rodri,Fernandinho,Phil Foden,Kevin De Bruyne,Riyad Mahrez,Raheem Sterling,LEI,5-4-1_R,"[24, 18, 20, 20, 20, 18, 12, 12, 12, 12, 4]","[0, -10, -5, 0, 5, 10, -9, -3, 3, 9, 0]",Kasper Schmeichel,James Justin,Caglar Söyüncü,Jonny Evans,Daniel Amartey,Timothy Castagne,Harvey Barnes,Nampalys Mendy,Youri Tielemans,Dennis Praet,Jamie Vardy,0,2-5
2020-09-28 02:00:00,WHU,5-4-1_L,"[-24, -18, -20, -20, -20, -18, -12, -12, -12, -12, -4]","[0, 10, 5, 0, -5, -10, 9, 3, -3, -9, 0]",Lukasz Fabianski,Arthur Masuaku,Aaron Cresswell,Angelo Ogbonna,Fabián Balbuena,Ryan Fredericks,Pablo Fornals,Declan Rice,Tomás Soucek,Jarrod Bowen,Michail Antonio,WOL,3-4-3_R,"[24, 18, 20, 18, 12, 12, 12, 12, 6, 4, 6]","[0, -8, 0, 8, -9, -3, 3, 9, -8, 0, 8]",Rui Patrício,Romain Saïss,Conor Coady,Willy Boly,Ruben Vinagre,João Moutinho,Rúben Neves,Nélson Semedo,Pedro Neto,Raúl Jiménez,Adama Traoré2,2,4-0
2020-09-29 00:45:00,FUL,3-4-3_L,"[-24, -18, -20, -18, -12, -12, -12, -12, -6, -4, -6]","[0, 8, 0, -8, 9, 3, -3, -9, 8, 0, -8]",Alphonse Areola,Tim Ream,Michael Hector,Denis Odoi,Joe Bryan,Tom Cairney,André-Frank Zambo Anguissa,Kenny Tete,Ivan Cavaleiro,Aleksandar Mitrovic,Bobby De Cordova-Reid,AVL,4-3-3-a_R,"[24, 18, 20, 20, 18, 12, 10, 12, 6, 4, 6]","[0, -9, -3, 3, 9, -3, 0, 3, -8, 0, 8]",Emiliano Martínez,Matt Targett,Tyrone Mings,Ezri Konsa,Matthew Cash,Conor Hourihane,John McGinn,Douglas Luiz,Jack Grealish,Ollie Watkins,Trézéguet,0,0-3
2020-09-29 03:00:00,LIV,4-3-3-d_L,"[-24, -18, -20, -20, -18, -12, -14, -12, -6, -4, -6]","[0, 9, 3, -3, -9, 3, 0, -3, 8, 0, -8]",Alisson,Andy Robertson,Virgil van Dijk,Joe Gomez,Trent Alexander-Arnold,Georginio Wijnaldum,Fabinho,Naby Keita,Sadio Mané,Roberto Firmino,Mohamed Salah,ARS,3-4-3_R,"[24, 18, 20, 18, 12, 12, 12, 12, 6, 4, 6]","[0, -8, 0, 8, -9, -3, 3, 9, -8, 0, 8]",Bernd Leno,Kieran Tierney,David Luiz,Rob Holding,Ainsley Maitland-Niles,Granit Xhaka,Mohamed Elneny,Héctor Bellerín,Pierre-Emerick Aubameyang,Alexandre Lacazette,Willian,2,3-1
2020-10-03 19:30:00,CHE,4-2-3-1_L,"[-24, -19, -21, -21, -19, -15, -15, -11, -9, -11, -3]","[0, 9, 3, -3, -9, 3, -3, 9, 0, -9, 0]",Édouard Mendy,Ben Chilwell,Kurt Zouma,Thiago Silva,César Azpilicueta,Jorginho,N'Golo Kanté,Timo Werner,Kai Havertz,Callum Hudson-Odoi,Tammy Abraham,CRY,4-4-2_R,"[24, 18, 20, 20, 18, 10, 12, 12, 10, 4, 4]","[0, -9, -3, 3, 9, -9, -3, 3, 9, -3, 3]",Vicente Guaita,Tyrick Mitchell,Mamadou Sakho,Cheikhou Kouyaté,Joel Ward,Eberechi Eze,James McCarthy,James McArthur,Andros Townsend,Jordan Ayew,Wilfried Zaha,2,4-0
2020-10-03 22:00:00,EVE,4-3-3-d_L,"[-24, -18, -20, -20, -18, -12, -14, -12, -6, -4, -6]","[0, 9, 3, -3, -9, 3, 0, -3, 8, 0, -8]",Jordan Pickford,Lucas Digne,Michael Keane,Yerry Mina,Seamus Coleman,Gylfi Sigurdsson,Tom Davies,Abdoulaye Doucouré,Richarlison,Dominic Calvert-Lewin,James Rodríguez,BHA,3-4-2-1_R,"[24, 21, 21, 21, 15, 15, 15, 15, 9, 9, 3]","[0, -8, 0, 8, -9, -3, 3, 9, -3, 3, 0]",Mat Ryan,Adam Webster,Lewis Dunk,Ben White,Solly March,Steven Alzate,Yves Bissouma,Tariq Lamptey,Neal Maupay,Leandro Trossard,Aaron Connolly,2,4-2
