timestamp,team1,team1_shape,team1_player1_name,team1_player2_name,team1_player3_name,team1_player4_name,team1_player5_name,team1_player6_name,team1_player7_name,team1_player8_name,team1_player9_name,team1_player10_name,team1_player11_name,team2,team2_shape,team2_player1_name,team2_player2_name,team2_player3_name,team2_player4_name,team2_player5_name,team2_player6_name,team2_player7_name,team2_player8_name,team2_player9_name,team2_player10_name,team2_player11_name,result,score
"4:00 AM CT,January 11, 2022",ESP,4-4-2_L,Diego López,Adriá Pedrosa,Leandro Cabrera,Sergi Gómez,Óscar Gil,Nicolás Melamed,Fran Mérida,David López,Adrián Embarba,Raúl de Tomás1,Wu Lei,ELC,3-5-2_R,Kiko Casilla,Pedro Bigas,Gonzalo Verdú,Enzo Roco,Johan Mojica,Iván Marcone,Fidel,Raúl Guti,Josan,Lucas Boyé,Pere Milla,-1,1-2
"9:00 PM CT,January 16, 2022",ELC,3-5-2_L,Kiko Casilla,Pedro Bigas,Gonzalo Verdú,Enzo Roco,Johan Mojica,Iván Marcone,Fidel,Raúl Guti,Josan,Lucas Boyé,Pere Milla,VIL,4-4-2_R,Sergio Asenjo,Alfonso Pedraza,Pau Torres,Raúl Albiol,Mario,Moi Gómez,Dani Parejo,Francis Coquelin,Samu Chukwueze,Gerard Moreno,Paco Alcácer,1,1-0
"3:00 AM CT,January 19, 2022",BET,4-2-3-1_L,Rui Silva,Álex Moreno,Víctor Ruiz,Edgar González,Martín Montoya,Sergio Canales,Paul Akouokou,Aitor Ruibal,Nabil Fekir,Rodrigo Sánchez,Borja Iglesias,ALA,4-4-2_R,Fernando Pacheco,Rubén Duarte,Florian Lejeune,Víctor Laguardia,Martín Aguirregabiria,Pere Pons,Tomás Pina,Édgar Méndez,Manu García1,Luis Rioja,Joselu,1,4-0
"4:30 AM CT,January 19, 2022",CAD,4-2-3-1_L,Jeremias Ledesma,Alfonso Espino,Fali Jiménez,Varazdat Haroyan,Carlos Akapo,Jens Jonsson,Tomás Alarcón,Anthony Lozano,Álex,Salvi,Álvaro Negredo,ESP,4-4-2_R,Diego López,Adriá Pedrosa,Leandro Cabrera,Sergi Gómez,Óscar Gil,Nicolás Melamed,Fran Mérida,David López,Adrián Embarba,Raúl de Tomás1,Wu Lei,0,2-2
"2:00 AM CT,January 20, 2022",CEL,4-4-2_L,Matías Dituro,Javier Galán,José Manuel Fontán,Néstor Araujo,Hugo Mallo,Nolito,Denis Suárez,Renato Tapia,Fran Beltrán,Iago Aspas,Santi Mina,OSA,4-4-2_R,Sergio Herrera,Rubén García,David García,Unai García,Nacho Vidal,Enrique García,Lucas Torró,Jon Moncayola,Enrique Barja,Darko Brasanac,Ante Budimir,1,2-0
"4:30 AM CT,January 20, 2022",VAL,4-4-2_L,Giorgi Mamardashvili,José Gayà,Omar Alderete,Gabriel2,Thierry Correia,Denis Cheryshev,Hugo Guillamón,Daniel Wass,Carlos Soler,Goncalo Guedes,Maxi Gómez,SEV,3-4-2-1_R,Marko Dmitrovic,Karim Rekik,Diego Carlos,Jules Koundé,Marcos Acuña,Joan Jordán,Fernando1,Jesús Navas,Oussama Idrissi,Óscar Rodríguez,Youssef En-Nesyri,0,1-1
"2:00 AM CT,January 21, 2022",GET,5-3-2_L,David Soria,Mathías Olivera,Stefan Mitrovic,Erick Cabaco,Djené Dakonam,Damián Suárez,Carles Aleñá,Nemanja Maksimovic,Mauro Arambarri,Enes Ünal,Sandro Ramírez,GRA,4-3-3-d_R,Aarón Escandell,Carlos Neva,Domingos Duarte,Germán,Dimitri Foulquier,Luis Milla,Maxime Gonalons,Monchu,Darwin Machis,Luis Suárez2,Antonio Puertas,1,4-2
"4:00 AM CT,January 22, 2022",ESP,4-4-2_L,Diego López,Adriá Pedrosa,Leandro Cabrera,Sergi Gómez,Óscar Gil,Nicolás Melamed,Fran Mérida,David López,Adrián Embarba,Raúl de Tomás1,Wu Lei,BET,4-2-3-1_R,Rui Silva,Álex Moreno,Víctor Ruiz,Edgar González,Martín Montoya,Sergio Canales,Paul Akouokou,Aitor Ruibal,Nabil Fekir,Rodrigo Sánchez,Borja Iglesias,-1,1-4
"9:00 PM CT,January 22, 2022",LEV,4-4-2_L,Aitor Fernández,Carlos Clerc,Róber,Óscar Duarte,Son,José Luis Morales,Gonzalo Melero,José Campaña,Jorge de Frutos,Roberto Soldado,Roger Martí,CAD,4-2-3-1_R,Jeremias Ledesma,Alfonso Espino,Fali Jiménez,Varazdat Haroyan,Carlos Akapo,Jens Jonsson,Tomás Alarcón,Anthony Lozano,Álex,Salvi,Álvaro Negredo,-1,0-2
"11:15 PM CT,January 22, 2022",VIL,4-4-2_L,Sergio Asenjo,Alfonso Pedraza,Pau Torres,Raúl Albiol,Mario,Moi Gómez,Dani Parejo,Francis Coquelin,Samu Chukwueze,Gerard Moreno,Paco Alcácer,MLL,4-3-3-d_R,Manolo Reina,Brian Oliván,Antonio Raillo,Martin Valjent,Pablo Maffeo,Iñigo Ruiz de Galarreta,Iddrisu Baba,Salva Sevilla,Daniel Rodriguez,Ángel Rodríguez,Jordi Mboula,1,3-0
