timestamp,team1,team1_shape,team1_player1_name,team1_player2_name,team1_player3_name,team1_player4_name,team1_player5_name,team1_player6_name,team1_player7_name,team1_player8_name,team1_player9_name,team1_player10_name,team1_player11_name,team2,team2_shape,team2_player1_name,team2_player2_name,team2_player3_name,team2_player4_name,team2_player5_name,team2_player6_name,team2_player7_name,team2_player8_name,team2_player9_name,team2_player10_name,team2_player11_name,result,score
"4:00 AM CT,December 2, 2021",RMA,4-3-3-d_L,Thibaut Courtois,Ferland Mendy,David Alaba,Éder Militão,Dani Carvajal,Toni Kroos,Casemiro,Luka Modric,Vinícius Júnior,Karim Benzema,Marco Asensio,ATH,4-4-2_R,Unai Simón,Mikel Balenziaga,Iñigo Martínez,Dani Vivian,Óscar de Marcos,Iker Muniain,Dani García,Unai Vencedor,Álex Berenguer,Iñaki Williams,Oihan Sancet,1,1-0
"4:00 AM CT,December 4, 2021",GRA,4-3-3-d_L,Aarón Escandell,Carlos Neva,Domingos Duarte,Germán,Dimitri Foulquier,Luis Milla,Maxime Gonalons,Monchu,Darwin Machis,Luis Suárez2,Antonio Puertas,ALA,4-4-2_R,Fernando Pacheco,Rubén Duarte,Florian Lejeune,Víctor Laguardia,Martín Aguirregabiria,Pere Pons,Tomás Pina,Édgar Méndez,Manu García1,Luis Rioja,Joselu,1,2-1
"9:00 PM CT,December 4, 2021",SEV,3-4-2-1_L,Marko Dmitrovic,Karim Rekik,Diego Carlos,Jules Koundé,Marcos Acuña,Joan Jordán,Fernando1,Jesús Navas,Oussama Idrissi,Óscar Rodríguez,Youssef En-Nesyri,VIL,4-4-2_R,Sergio Asenjo,Alfonso Pedraza,Pau Torres,Raúl Albiol,Mario,Moi Gómez,Dani Parejo,Francis Coquelin,Samu Chukwueze,Gerard Moreno,Paco Alcácer,1,1-0
"11:15 PM CT,December 4, 2021",BAR,4-3-3-d_L,Marc-André ter Stegen,Jordi Alba,Gerard Piqué,Ronald Araújo,Sergiño Dest,Frenkie de Jong,Sergio Busquets,Pedri,Ansu Fati,Memphis Depay,Gavi,BET,4-2-3-1_R,Rui Silva,Álex Moreno,Víctor Ruiz,Edgar González,Martín Montoya,Sergio Canales,Paul Akouokou,Aitor Ruibal,Nabil Fekir,Rodrigo Sánchez,Borja Iglesias,-1,0-1
"1:30 AM CT,December 5, 2021",ATL,3-1-4-2_L,Jan Oblak,Mario Hermoso,José Giménez,Stefan Savic,Koke,Yannick Carrasco,Marcos Llorente,Rodrigo De Paul,Saúl Ñíguez,João Félix,Ángel Correa,MLL,4-3-3-d_R,Manolo Reina,Brian Oliván,Antonio Raillo,Martin Valjent,Pablo Maffeo,Iñigo Ruiz de Galarreta,Iddrisu Baba,Salva Sevilla,Daniel Rodriguez,Ángel Rodríguez,Jordi Mboula,-1,1-2
"4:00 AM CT,December 5, 2021",RSO,4-2-3-1_L,Álex Remiro,Aihen Muñoz,Robin Le Normand,Aritz Elustondo,Joseba Zaldúa,Martín Zubimendi,Mikel Merino,Mikel Oyarzabal,David Silva,Adnan Januzaj,Portu,RMA,4-3-3-d_R,Thibaut Courtois,Ferland Mendy,David Alaba,Éder Militão,Dani Carvajal,Toni Kroos,Casemiro,Luka Modric,Vinícius Júnior,Karim Benzema,Marco Asensio,-1,0-2
"9:00 PM CT,December 5, 2021",RAY,4-2-3-1_L,Luca Zidane,Fran García,Alejandro Catena,Mario Suárez,Iván Balliu,Santiago Comesaña,Óscar Valentín,Fran García,Óscar Trejo,Isi Palazón,Randy Nteka,ESP,4-4-2_R,Diego López,Adriá Pedrosa,Leandro Cabrera,Sergi Gómez,Óscar Gil,Nicolás Melamed,Fran Mérida,David López,Adrián Embarba,Raúl de Tomás1,Wu Lei,1,1-0
"11:15 PM CT,December 5, 2021",ELC,3-5-2_L,Kiko Casilla,Pedro Bigas,Gonzalo Verdú,Enzo Roco,Johan Mojica,Iván Marcone,Fidel,Raúl Guti,Josan,Lucas Boyé,Pere Milla,CAD,4-2-3-1_R,Jeremias Ledesma,Alfonso Espino,Fali Jiménez,Varazdat Haroyan,Carlos Akapo,Jens Jonsson,Tomás Alarcón,Anthony Lozano,Álex,Salvi,Álvaro Negredo,1,3-1
"1:30 AM CT,December 6, 2021",LEV,4-4-2_L,Aitor Fernández,Carlos Clerc,Róber,Óscar Duarte,Son,José Luis Morales,Gonzalo Melero,José Campaña,Jorge de Frutos,Roberto Soldado,Roger Martí,OSA,4-4-2_R,Sergio Herrera,Rubén García,David García,Unai García,Nacho Vidal,Enrique García,Lucas Torró,Jon Moncayola,Enrique Barja,Darko Brasanac,Ante Budimir,0,0-0
"4:00 AM CT,December 6, 2021",CEL,4-4-2_L,Matías Dituro,Javier Galán,José Manuel Fontán,Néstor Araujo,Hugo Mallo,Nolito,Denis Suárez,Renato Tapia,Fran Beltrán,Iago Aspas,Santi Mina,VAL,4-4-2_R,Giorgi Mamardashvili,José Gayà,Omar Alderete,Gabriel2,Thierry Correia,Denis Cheryshev,Hugo Guillamón,Daniel Wass,Carlos Soler,Goncalo Guedes,Maxi Gómez,-1,1-2
"4:00 AM CT,December 7, 2021",GET,5-3-2_L,David Soria,Mathías Olivera,Stefan Mitrovic,Erick Cabaco,Djené Dakonam,Damián Suárez,Carles Aleñá,Nemanja Maksimovic,Mauro Arambarri,Enes Ünal,Sandro Ramírez,ATH,4-4-2_R,Unai Simón,Mikel Balenziaga,Iñigo Martínez,Dani Vivian,Óscar de Marcos,Iker Muniain,Dani García,Unai Vencedor,Álex Berenguer,Iñaki Williams,Oihan Sancet,0,0-0
"4:00 AM CT,December 11, 2021",MLL,4-3-3-d_L,Manolo Reina,Brian Oliván,Antonio Raillo,Martin Valjent,Pablo Maffeo,Iñigo Ruiz de Galarreta,Iddrisu Baba,Salva Sevilla,Daniel Rodriguez,Ángel Rodríguez,Jordi Mboula,CEL,4-4-2_R,Matías Dituro,Javier Galán,José Manuel Fontán,Néstor Araujo,Hugo Mallo,Nolito,Denis Suárez,Renato Tapia,Fran Beltrán,Iago Aspas,Santi Mina,0,0-0
"9:00 PM CT,December 11, 2021",ESP,4-4-2_L,Diego López,Adriá Pedrosa,Leandro Cabrera,Sergi Gómez,Óscar Gil,Nicolás Melamed,Fran Mérida,David López,Adrián Embarba,Raúl de Tomás1,Wu Lei,LEV,4-4-2_R,Aitor Fernández,Carlos Clerc,Róber,Óscar Duarte,Son,José Luis Morales,Gonzalo Melero,José Campaña,Jorge de Frutos,Roberto Soldado,Roger Martí,1,4-3
"11:15 PM CT,December 11, 2021",ALA,4-4-2_L,Fernando Pacheco,Rubén Duarte,Florian Lejeune,Víctor Laguardia,Martín Aguirregabiria,Pere Pons,Tomás Pina,Édgar Méndez,Manu García1,Luis Rioja,Joselu,GET,5-3-2_R,David Soria,Mathías Olivera,Stefan Mitrovic,Erick Cabaco,Djené Dakonam,Damián Suárez,Carles Aleñá,Nemanja Maksimovic,Mauro Arambarri,Enes Ünal,Sandro Ramírez,0,1-1
"1:30 AM CT,December 12, 2021",VAL,4-4-2_L,Giorgi Mamardashvili,José Gayà,Omar Alderete,Gabriel2,Thierry Correia,Denis Cheryshev,Hugo Guillamón,Daniel Wass,Carlos Soler,Goncalo Guedes,Maxi Gómez,ELC,3-5-2_R,Kiko Casilla,Pedro Bigas,Gonzalo Verdú,Enzo Roco,Johan Mojica,Iván Marcone,Fidel,Raúl Guti,Josan,Lucas Boyé,Pere Milla,1,2-1
"4:00 AM CT,December 12, 2021",ATH,4-4-2_L,Unai Simón,Mikel Balenziaga,Iñigo Martínez,Dani Vivian,Óscar de Marcos,Iker Muniain,Dani García,Unai Vencedor,Álex Berenguer,Iñaki Williams,Oihan Sancet,SEV,3-4-2-1_R,Marko Dmitrovic,Karim Rekik,Diego Carlos,Jules Koundé,Marcos Acuña,Joan Jordán,Fernando1,Jesús Navas,Oussama Idrissi,Óscar Rodríguez,Youssef En-Nesyri,-1,0-1
"9:00 PM CT,December 12, 2021",VIL,4-4-2_L,Sergio Asenjo,Alfonso Pedraza,Pau Torres,Raúl Albiol,Mario,Moi Gómez,Dani Parejo,Francis Coquelin,Samu Chukwueze,Gerard Moreno,Paco Alcácer,RAY,4-2-3-1_R,Luca Zidane,Fran García,Alejandro Catena,Mario Suárez,Iván Balliu,Santiago Comesaña,Óscar Valentín,Fran García,Óscar Trejo,Isi Palazón,Randy Nteka,1,2-0
"11:15 PM CT,December 12, 2021",OSA,4-4-2_L,Sergio Herrera,Rubén García,David García,Unai García,Nacho Vidal,Enrique García,Lucas Torró,Jon Moncayola,Enrique Barja,Darko Brasanac,Ante Budimir,BAR,4-3-3-d_R,Marc-André ter Stegen,Jordi Alba,Gerard Piqué,Ronald Araújo,Sergiño Dest,Frenkie de Jong,Sergio Busquets,Pedri,Ansu Fati,Memphis Depay,Ousmane Dembélé,0,2-2
"1:30 AM CT,December 13, 2021",BET,4-2-3-1_L,Rui Silva,Álex Moreno,Víctor Ruiz,Edgar González,Martín Montoya,Sergio Canales,Paul Akouokou,Aitor Ruibal,Nabil Fekir,Rodrigo Sánchez,Borja Iglesias,RSO,4-2-3-1_R,Álex Remiro,Aihen Muñoz,Robin Le Normand,Aritz Elustondo,Joseba Zaldúa,Martín Zubimendi,Mikel Merino,Mikel Oyarzabal,David Silva,Adnan Januzaj,Portu,1,4-0
"4:00 AM CT,December 13, 2021",RMA,4-3-3-d_L,Thibaut Courtois,Ferland Mendy,David Alaba,Éder Militão,Dani Carvajal,Toni Kroos,Casemiro,Luka Modric,Vinícius Júnior,Karim Benzema,Marco Asensio,ATL,3-1-4-2_R,Jan Oblak,Mario Hermoso,José Giménez,Stefan Savic,Koke,Yannick Carrasco,Marcos Llorente,Rodrigo De Paul,Saúl Ñíguez,João Félix,Ángel Correa,1,2-0
"4:00 AM CT,December 14, 2021",CAD,4-2-3-1_L,Jeremias Ledesma,Alfonso Espino,Fali Jiménez,Varazdat Haroyan,Carlos Akapo,Jens Jonsson,Tomás Alarcón,Anthony Lozano,Álex,Salvi,Álvaro Negredo,GRA,4-3-3-d_R,Aarón Escandell,Carlos Neva,Domingos Duarte,Germán,Dimitri Foulquier,Luis Milla,Maxime Gonalons,Monchu,Darwin Machis,Luis Suárez2,Antonio Puertas,0,1-1
"4:00 AM CT,December 18, 2021",CEL,4-4-2_L,Matías Dituro,Javier Galán,José Manuel Fontán,Néstor Araujo,Hugo Mallo,Nolito,Denis Suárez,Renato Tapia,Fran Beltrán,Iago Aspas,Santi Mina,ESP,4-4-2_R,Diego López,Adriá Pedrosa,Leandro Cabrera,Sergi Gómez,Óscar Gil,Nicolás Melamed,Fran Mérida,David López,Adrián Embarba,Raúl de Tomás1,Wu Lei,1,3-1
"9:00 PM CT,December 18, 2021",RAY,4-2-3-1_L,Luca Zidane,Fran García,Alejandro Catena,Mario Suárez,Iván Balliu,Santiago Comesaña,Óscar Valentín,Fran García,Óscar Trejo,Isi Palazón,Randy Nteka,ALA,4-4-2_R,Fernando Pacheco,Rubén Duarte,Florian Lejeune,Víctor Laguardia,Martín Aguirregabiria,Pere Pons,Tomás Pina,Édgar Méndez,Manu García1,Luis Rioja,Joselu,1,2-0
"11:15 PM CT,December 18, 2021",RSO,4-2-3-1_L,Álex Remiro,Aihen Muñoz,Robin Le Normand,Aritz Elustondo,Joseba Zaldúa,Martín Zubimendi,Mikel Merino,Mikel Oyarzabal,David Silva,Adnan Januzaj,Portu,VIL,4-4-2_R,Sergio Asenjo,Alfonso Pedraza,Pau Torres,Raúl Albiol,Mario,Moi Gómez,Dani Parejo,Francis Coquelin,Samu Chukwueze,Gerard Moreno,Paco Alcácer,-1,1-3
"1:30 AM CT,December 19, 2021",BAR,4-3-3-d_L,Marc-André ter Stegen,Jordi Alba,Gerard Piqué,Ronald Araújo,Sergiño Dest,Frenkie de Jong,Sergio Busquets,Pedri,Ansu Fati,Memphis Depay,Ousmane Dembélé,ELC,3-5-2_R,Kiko Casilla,Pedro Bigas,Gonzalo Verdú,Enzo Roco,Johan Mojica,Iván Marcone,Fidel,Raúl Guti,Josan,Lucas Boyé,Pere Milla,1,3-2
"4:00 AM CT,December 19, 2021",SEV,3-4-2-1_L,Marko Dmitrovic,Karim Rekik,Diego Carlos,Jules Koundé,Marcos Acuña,Joan Jordán,Fernando1,Jesús Navas,Oussama Idrissi,Óscar Rodríguez,Youssef En-Nesyri,ATL,3-1-4-2_R,Jan Oblak,Mario Hermoso,José Giménez,Stefan Savic,Koke,Yannick Carrasco,Marcos Llorente,Rodrigo De Paul,Saúl Ñíguez,João Félix,Ángel Correa,1,2-1
"9:00 PM CT,December 19, 2021",GRA,4-3-3-d_L,Aarón Escandell,Carlos Neva,Domingos Duarte,Germán,Dimitri Foulquier,Luis Milla,Maxime Gonalons,Monchu,Darwin Machis,Luis Suárez2,Antonio Puertas,MLL,4-3-3-d_R,Manolo Reina,Brian Oliván,Antonio Raillo,Martin Valjent,Pablo Maffeo,Iñigo Ruiz de Galarreta,Iddrisu Baba,Salva Sevilla,Daniel Rodriguez,Ángel Rodríguez,Jordi Mboula,1,4-1
"11:15 PM CT,December 19, 2021",ATH,4-4-2_L,Unai Simón,Mikel Balenziaga,Iñigo Martínez,Dani Vivian,Óscar de Marcos,Iker Muniain,Dani García,Unai Vencedor,Álex Berenguer,Iñaki Williams,Oihan Sancet,BET,4-2-3-1_R,Rui Silva,Álex Moreno,Víctor Ruiz,Edgar González,Martín Montoya,Sergio Canales,Paul Akouokou,Aitor Ruibal,Nabil Fekir,Rodrigo Sánchez,Borja Iglesias,1,3-2
"1:30 AM CT,December 20, 2021",GET,5-3-2_L,David Soria,Mathías Olivera,Stefan Mitrovic,Erick Cabaco,Djené Dakonam,Damián Suárez,Carles Aleñá,Nemanja Maksimovic,Mauro Arambarri,Enes Ünal,Sandro Ramírez,OSA,4-4-2_R,Sergio Herrera,Rubén García,David García,Unai García,Nacho Vidal,Enrique García,Lucas Torró,Jon Moncayola,Enrique Barja,Darko Brasanac,Ante Budimir,1,1-0
"4:00 AM CT,December 20, 2021",RMA,4-3-3-d_L,Thibaut Courtois,Ferland Mendy,David Alaba,Éder Militão,Dani Carvajal,Toni Kroos,Casemiro,Luka Modric,Vinícius Júnior,Karim Benzema,Marco Asensio,CAD,4-2-3-1_R,Jeremias Ledesma,Alfonso Espino,Fali Jiménez,Varazdat Haroyan,Carlos Akapo,Jens Jonsson,Tomás Alarcón,Anthony Lozano,Álex,Salvi,Álvaro Negredo,0,0-0
"4:00 AM CT,December 21, 2021",LEV,4-4-2_L,Aitor Fernández,Carlos Clerc,Róber,Óscar Duarte,Son,José Luis Morales,Gonzalo Melero,José Campaña,Jorge de Frutos,Roberto Soldado,Roger Martí,VAL,4-4-2_R,Giorgi Mamardashvili,José Gayà,Omar Alderete,Gabriel2,Thierry Correia,Denis Cheryshev,Hugo Guillamón,Daniel Wass,Carlos Soler,Goncalo Guedes,Maxi Gómez,-1,3-4
"2:00 AM CT,December 22, 2021",VIL,4-4-2_L,Sergio Asenjo,Alfonso Pedraza,Pau Torres,Raúl Albiol,Mario,Moi Gómez,Dani Parejo,Francis Coquelin,Samu Chukwueze,Gerard Moreno,Paco Alcácer,ALA,4-4-2_R,Fernando Pacheco,Rubén Duarte,Florian Lejeune,Víctor Laguardia,Martín Aguirregabiria,Pere Pons,Tomás Pina,Édgar Méndez,Manu García1,Luis Rioja,Joselu,1,5-2
"4:30 AM CT,December 22, 2021",SEV,3-4-2-1_L,Marko Dmitrovic,Karim Rekik,Diego Carlos,Jules Koundé,Marcos Acuña,Joan Jordán,Fernando1,Jesús Navas,Oussama Idrissi,Óscar Rodríguez,Youssef En-Nesyri,BAR,4-3-3-d_R,Marc-André ter Stegen,Jordi Alba,Gerard Piqué,Ronald Araújo,Sergiño Dest,Frenkie de Jong,Sergio Busquets,Pedri,Ansu Fati,Memphis Depay,Ousmane Dembélé,0,1-1
"2:00 AM CT,December 23, 2021",GRA,4-3-3-d_L,Aarón Escandell,Carlos Neva,Domingos Duarte,Germán,Dimitri Foulquier,Luis Milla,Maxime Gonalons,Monchu,Darwin Machis,Luis Suárez2,Antonio Puertas,ATL,3-1-4-2_R,Jan Oblak,Mario Hermoso,José Giménez,Stefan Savic,Koke,Yannick Carrasco,Marcos Llorente,Rodrigo De Paul,Saúl Ñíguez,João Félix,Ángel Correa,1,2-1
"4:30 AM CT,December 23, 2021",ATH,4-4-2_L,Unai Simón,Mikel Balenziaga,Iñigo Martínez,Dani Vivian,Óscar de Marcos,Iker Muniain,Dani García,Unai Vencedor,Álex Berenguer,Iñaki Williams,Oihan Sancet,RMA,4-3-3-d_R,Thibaut Courtois,Ferland Mendy,David Alaba,Éder Militão,Dani Carvajal,Toni Kroos,Casemiro,Luka Modric,Vinícius Júnior,Karim Benzema,Marco Asensio,-1,1-2
"11:15 PM CT,December 31, 2021",VAL,4-4-2_L,Giorgi Mamardashvili,José Gayà,Omar Alderete,Gabriel2,Thierry Correia,Denis Cheryshev,Hugo Guillamón,Daniel Wass,Carlos Soler,Goncalo Guedes,Maxi Gómez,ESP,4-4-2_R,Diego López,Adriá Pedrosa,Leandro Cabrera,Sergi Gómez,Óscar Gil,Nicolás Melamed,Fran Mérida,David López,Adrián Embarba,Raúl de Tomás1,Wu Lei,-1,1-2
"9:00 PM CT,January 2, 2022",GET,5-3-2_L,David Soria,Mathías Olivera,Stefan Mitrovic,Erick Cabaco,Djené Dakonam,Damián Suárez,Carles Aleñá,Nemanja Maksimovic,Mauro Arambarri,Enes Ünal,Sandro Ramírez,RMA,4-3-3-d_R,Thibaut Courtois,Ferland Mendy,David Alaba,Éder Militão,Dani Carvajal,Toni Kroos,Casemiro,Luka Modric,Vinícius Júnior,Karim Benzema,Marco Asensio,1,1-0
"11:15 PM CT,January 2, 2022",ATL,3-1-4-2_L,Jan Oblak,Mario Hermoso,José Giménez,Stefan Savic,Koke,Yannick Carrasco,Marcos Llorente,Rodrigo De Paul,Saúl Ñíguez,João Félix,Ángel Correa,RAY,4-2-3-1_R,Luca Zidane,Fran García,Alejandro Catena,Mario Suárez,Iván Balliu,Santiago Comesaña,Óscar Valentín,Fran García,Óscar Trejo,Isi Palazón,Randy Nteka,1,2-0
"11:15 PM CT,January 2, 2022",ELC,3-5-2_L,Kiko Casilla,Pedro Bigas,Gonzalo Verdú,Enzo Roco,Johan Mojica,Iván Marcone,Fidel,Raúl Guti,Josan,Lucas Boyé,Pere Milla,GRA,4-3-3-d_R,Aarón Escandell,Carlos Neva,Domingos Duarte,Germán,Dimitri Foulquier,Luis Milla,Maxime Gonalons,Monchu,Darwin Machis,Luis Suárez2,Antonio Puertas,0,0-0
"1:30 AM CT,January 3, 2022",ALA,4-4-2_L,Fernando Pacheco,Rubén Duarte,Florian Lejeune,Víctor Laguardia,Martín Aguirregabiria,Pere Pons,Tomás Pina,Édgar Méndez,Manu García1,Luis Rioja,Joselu,RSO,4-2-3-1_R,Álex Remiro,Aihen Muñoz,Robin Le Normand,Aritz Elustondo,Joseba Zaldúa,Martín Zubimendi,Mikel Merino,Mikel Oyarzabal,David Silva,Adnan Januzaj,Portu,0,1-1
"1:30 AM CT,January 3, 2022",BET,4-2-3-1_L,Rui Silva,Álex Moreno,Víctor Ruiz,Edgar González,Martín Montoya,Sergio Canales,Paul Akouokou,Aitor Ruibal,Nabil Fekir,Rodrigo Sánchez,Borja Iglesias,CEL,4-4-2_R,Matías Dituro,Javier Galán,José Manuel Fontán,Néstor Araujo,Hugo Mallo,Nolito,Denis Suárez,Renato Tapia,Fran Beltrán,Iago Aspas,Santi Mina,-1,0-2
"4:00 AM CT,January 3, 2022",MLL,4-3-3-d_L,Manolo Reina,Brian Oliván,Antonio Raillo,Martin Valjent,Pablo Maffeo,Iñigo Ruiz de Galarreta,Iddrisu Baba,Salva Sevilla,Daniel Rodriguez,Ángel Rodríguez,Jordi Mboula,BAR,4-3-3-d_R,Marc-André ter Stegen,Jordi Alba,Gerard Piqué,Ronald Araújo,Sergiño Dest,Frenkie de Jong,Sergio Busquets,Pedri,Ansu Fati,Memphis Depay,Ousmane Dembélé,-1,0-1
"2:00 AM CT,January 4, 2022",VIL,4-4-2_L,Sergio Asenjo,Alfonso Pedraza,Pau Torres,Raúl Albiol,Mario,Moi Gómez,Dani Parejo,Francis Coquelin,Samu Chukwueze,Gerard Moreno,Paco Alcácer,LEV,4-4-2_R,Aitor Fernández,Carlos Clerc,Róber,Óscar Duarte,Son,José Luis Morales,Gonzalo Melero,José Campaña,Jorge de Frutos,Roberto Soldado,Roger Martí,1,5-0
"4:00 AM CT,January 4, 2022",OSA,4-4-2_L,Sergio Herrera,Rubén García,David García,Unai García,Nacho Vidal,Enrique García,Lucas Torró,Jon Moncayola,Enrique Barja,Darko Brasanac,Ante Budimir,ATH,4-4-2_R,Unai Simón,Mikel Balenziaga,Iñigo Martínez,Dani Vivian,Óscar de Marcos,Iker Muniain,Dani García,Unai Vencedor,Álex Berenguer,Iñaki Williams,Oihan Sancet,-1,1-3
"4:15 AM CT,January 4, 2022",CAD,4-2-3-1_L,Jeremias Ledesma,Alfonso Espino,Fali Jiménez,Varazdat Haroyan,Carlos Akapo,Jens Jonsson,Tomás Alarcón,Anthony Lozano,Álex,Salvi,Álvaro Negredo,SEV,3-4-2-1_R,Marko Dmitrovic,Karim Rekik,Diego Carlos,Jules Koundé,Marcos Acuña,Joan Jordán,Fernando1,Jesús Navas,Oussama Idrissi,Óscar Rodríguez,Youssef En-Nesyri,-1,0-1
"9:00 PM CT,January 8, 2022",LEV,4-4-2_L,Aitor Fernández,Carlos Clerc,Róber,Óscar Duarte,Son,José Luis Morales,Gonzalo Melero,José Campaña,Jorge de Frutos,Roberto Soldado,Roger Martí,MLL,4-3-3-d_R,Manolo Reina,Brian Oliván,Antonio Raillo,Martin Valjent,Pablo Maffeo,Iñigo Ruiz de Galarreta,Iddrisu Baba,Salva Sevilla,Daniel Rodriguez,Ángel Rodríguez,Jordi Mboula,1,2-0
"11:15 PM CT,January 8, 2022",RSO,4-2-3-1_L,Álex Remiro,Aihen Muñoz,Robin Le Normand,Aritz Elustondo,Joseba Zaldúa,Martín Zubimendi,Mikel Merino,Mikel Oyarzabal,David Silva,Adnan Januzaj,Portu,CEL,4-4-2_R,Matías Dituro,Javier Galán,José Manuel Fontán,Néstor Araujo,Hugo Mallo,Nolito,Denis Suárez,Renato Tapia,Fran Beltrán,Iago Aspas,Santi Mina,1,1-0
"1:30 AM CT,January 9, 2022",GRA,4-3-3-d_L,Aarón Escandell,Carlos Neva,Domingos Duarte,Germán,Dimitri Foulquier,Luis Milla,Maxime Gonalons,Monchu,Darwin Machis,Luis Suárez2,Antonio Puertas,BAR,4-3-3-d_R,Marc-André ter Stegen,Jordi Alba,Gerard Piqué,Ronald Araújo,Sergiño Dest,Frenkie de Jong,Sergio Busquets,Pedri,Ansu Fati,Memphis Depay,Ousmane Dembélé,0,1-1
"4:00 AM CT,January 9, 2022",RMA,4-3-3-d_L,Thibaut Courtois,Ferland Mendy,David Alaba,Éder Militão,Dani Carvajal,Toni Kroos,Casemiro,Luka Modric,Vinícius Júnior,Karim Benzema,Marco Asensio,VAL,4-4-2_R,Giorgi Mamardashvili,José Gayà,Omar Alderete,Gabriel2,Thierry Correia,Denis Cheryshev,Hugo Guillamón,Daniel Wass,Carlos Soler,Goncalo Guedes,Maxi Gómez,1,4-1
"9:00 PM CT,January 9, 2022",RAY,4-2-3-1_L,Luca Zidane,Fran García,Alejandro Catena,Mario Suárez,Iván Balliu,Santiago Comesaña,Óscar Valentín,Fran García,Óscar Trejo,Isi Palazón,Randy Nteka,BET,4-2-3-1_R,Rui Silva,Álex Moreno,Víctor Ruiz,Edgar González,Martín Montoya,Sergio Canales,Paul Akouokou,Aitor Ruibal,Nabil Fekir,Rodrigo Sánchez,Borja Iglesias,0,1-1
"11:15 PM CT,January 9, 2022",SEV,3-4-2-1_L,Marko Dmitrovic,Karim Rekik,Diego Carlos,Jules Koundé,Marcos Acuña,Joan Jordán,Fernando1,Jesús Navas,Oussama Idrissi,Óscar Rodríguez,Youssef En-Nesyri,GET,5-3-2_R,David Soria,Mathías Olivera,Stefan Mitrovic,Erick Cabaco,Djené Dakonam,Damián Suárez,Carles Aleñá,Nemanja Maksimovic,Mauro Arambarri,Enes Ünal,Sandro Ramírez,1,1-0
"1:30 AM CT,January 10, 2022",ALA,4-4-2_L,Fernando Pacheco,Rubén Duarte,Florian Lejeune,Víctor Laguardia,Martín Aguirregabiria,Pere Pons,Tomás Pina,Édgar Méndez,Manu García1,Luis Rioja,Joselu,ATH,4-4-2_R,Unai Simón,Mikel Balenziaga,Iñigo Martínez,Dani Vivian,Óscar de Marcos,Iker Muniain,Dani García,Unai Vencedor,Álex Berenguer,Iñaki Williams,Oihan Sancet,0,0-0
"1:30 AM CT,January 10, 2022",OSA,4-4-2_L,Sergio Herrera,Rubén García,David García,Unai García,Nacho Vidal,Enrique García,Lucas Torró,Jon Moncayola,Enrique Barja,Darko Brasanac,Ante Budimir,CAD,4-2-3-1_R,Jeremias Ledesma,Alfonso Espino,Fali Jiménez,Varazdat Haroyan,Carlos Akapo,Jens Jonsson,Tomás Alarcón,Anthony Lozano,Álex,Salvi,Álvaro Negredo,1,2-0
"4:00 AM CT,January 10, 2022",VIL,4-4-2_L,Sergio Asenjo,Alfonso Pedraza,Pau Torres,Raúl Albiol,Mario,Moi Gómez,Dani Parejo,Francis Coquelin,Samu Chukwueze,Gerard Moreno,Paco Alcácer,ATL,3-1-4-2_R,Jan Oblak,Mario Hermoso,José Giménez,Stefan Savic,Koke,Yannick Carrasco,Marcos Llorente,Rodrigo De Paul,Saúl Ñíguez,João Félix,Ángel Correa,0,2-2
